iter	Passed	Remaining
0	1	852
1	2	875
2	3	908
3	5	895
4	6	905
5	7	917
6	9	925
7	10	920
8	11	917
9	13	917
10	14	920
11	16	919
12	17	914
13	18	913
14	19	909
15	21	912
16	22	912
17	24	911
18	25	913
19	26	909
20	28	907
21	29	905
22	30	905
23	32	904
24	33	905
25	34	901
26	36	899
27	37	901
28	38	900
29	40	901
30	41	901
31	43	903
32	45	910
33	47	929
34	49	937
35	52	967
36	66	1185
37	70	1232
38	73	1253
39	76	1255
40	78	1255
41	79	1251
42	82	1259
43	84	1264
44	86	1262
45	88	1260
46	90	1259
47	92	1260
48	94	1258
49	96	1253
50	98	1250
51	99	1245
52	101	1241
53	103	1239
54	105	1234
55	106	1230
56	108	1225
57	110	1221
58	112	1216
59	113	1213
60	115	1209
61	117	1207
62	120	1217
63	123	1227
64	125	1225
65	127	1224
66	129	1224
67	131	1223
68	133	1222
69	135	1220
70	137	1216
71	138	1211
72	140	1207
73	142	1203
74	143	1199
75	145	1195
76	146	1188
77	148	1183
78	149	1176
79	151	1170
80	152	1164
81	153	1158
82	154	1151
83	156	1146
84	157	1140
85	159	1136
86	160	1130
87	161	1125
88	163	1120
89	164	1114
90	166	1112
91	168	1112
92	170	1114
93	172	1112
94	174	1110
95	176	1109
96	178	1107
97	180	1106
98	182	1108
99	184	1105
100	185	1100
101	187	1097
102	188	1094
103	190	1091
104	191	1087
105	193	1083
106	194	1080
107	196	1076
108	197	1073
109	199	1069
110	201	1067
111	202	1063
112	204	1059
113	205	1056
114	207	1053
115	208	1049
116	209	1046
117	211	1043
118	212	1039
119	214	1036
120	215	1032
121	217	1028
122	218	1025
123	219	1021
124	221	1018
125	222	1014
126	224	1010
127	225	1006
128	226	1003
129	228	999
130	229	996
131	230	993
132	232	989
133	233	986
134	234	982
135	236	979
136	237	975
137	238	972
138	240	968
139	241	965
140	242	962
141	243	958
142	245	955
143	246	952
144	248	949
145	249	945
146	250	942
147	251	939
148	253	936
149	254	933
150	256	930
151	257	928
152	258	925
153	260	923
154	261	920
155	263	918
156	264	916
157	266	913
158	267	910
159	268	906
160	270	903
161	271	901
162	272	898
163	274	895
164	275	892
165	276	889
166	278	887
167	279	885
168	280	882
169	282	879
170	283	877
171	285	875
172	286	872
173	287	869
174	289	867
175	290	865
176	292	863
177	293	861
178	295	859
179	296	857
180	298	855
181	299	853
182	301	851
183	302	849
184	304	847
185	305	845
186	307	842
187	308	839
188	309	837
189	311	835
190	312	832
191	313	830
192	315	827
193	316	825
194	317	822
195	318	820
196	320	817
197	321	814
198	322	811
199	323	809
200	324	806
201	326	804
202	327	801
203	328	798
204	329	795
205	331	793
206	332	791
207	333	788
208	334	786
209	335	783
210	337	781
211	338	778
212	339	776
213	340	773
214	341	771
215	343	768
216	344	766
217	345	763
218	346	761
219	347	758
220	348	756
221	350	753
222	351	751
223	352	749
224	353	746
225	354	744
226	356	741
227	357	739
228	358	737
229	359	734
230	360	732
231	361	730
232	363	727
233	364	725
234	365	723
235	366	720
236	367	718
237	369	716
238	370	714
239	371	712
240	372	709
241	373	707
242	375	705
243	376	703
244	377	701
245	378	698
246	379	696
247	380	694
248	382	692
249	383	690
250	385	688
251	386	687
252	387	685
253	389	683
254	390	681
255	392	679
256	393	678
257	394	676
258	396	674
259	397	672
260	398	670
261	400	669
262	401	667
263	402	665
264	404	663
265	405	661
266	406	659
267	408	657
268	409	656
269	410	654
270	412	652
271	413	650
272	414	648
273	416	646
274	417	644
275	418	643
276	419	641
277	421	639
278	422	637
279	423	635
280	425	634
281	426	632
282	427	630
283	429	628
284	430	626
285	431	625
286	433	623
287	434	621
288	435	619
289	437	617
290	438	616
291	439	614
292	441	612
293	442	610
294	443	609
295	445	607
296	446	605
297	447	604
298	449	602
299	450	600
300	451	598
301	452	596
302	454	595
303	455	593
304	456	591
305	458	590
306	459	588
307	461	587
308	463	585
309	464	584
310	465	582
311	467	581
312	468	579
313	470	578
314	471	576
315	473	575
316	474	573
317	476	571
318	477	570
319	479	568
320	480	567
321	482	566
322	484	564
323	485	563
324	487	562
325	489	561
326	490	559
327	491	557
328	493	556
329	494	554
330	496	553
331	497	551
332	498	549
333	500	548
334	501	546
335	503	544
336	504	543
337	506	542
338	507	540
339	508	538
340	510	537
341	511	535
342	512	533
343	513	531
344	514	529
345	516	528
346	517	526
347	519	525
348	520	523
349	521	521
350	523	520
351	524	518
352	525	516
353	527	515
354	528	513
355	529	511
356	530	510
357	532	508
358	533	506
359	534	504
360	535	503
361	536	501
362	538	499
363	539	497
364	540	495
